Id,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered
1,2020-01-01,Afghanistan,0,0,0,0,0,0
2,2020-01-01,Albania,0,0,0,0,0,0
3,2020-01-01,Algeria,0,0,0,0,0,0
4,2020-01-01,Andorra,0,0,0,0,0,0
5,2020-01-01,Angola,0,0,0,0,0,0
6,2020-01-01,Antigua and Barbuda,0,0,0,0,0,0
7,2020-01-01,Argentina,0,0,0,0,0,0
8,2020-01-01,Armenia,0,0,0,0,0,0
9,2020-01-01,Australia,9,0,2,9,0,2
10,2020-01-01,Austria,0,0,0,0,0,0
11,2020-01-01,Azerbaijan,0,0,0,0,0,0
12,2020-01-01,Bahamas,0,0,0,0,0,0
13,2020-01-01,Bahrain,0,0,0,0,0,0
14,2020-01-01,Bangladesh,0,0,0,0,0,0
15,2020-01-01,Barbados,0,0,0,0,0,0
16,2020-01-01,Belarus,0,0,0,0,0,0
17,2020-01-01,Belgium,0,0,0,0,0,0
18,2020-01-01,Belize,0,0,0,0,0,0
19,2020-01-01,Benin,0,0,0,0,0,0
20,2020-01-01,Bhutan,0,0,0,0,0,0
21,2020-01-01,Bolivia,0,0,0,0,0,0
22,2020-01-01,Bosnia and Herzegovina,0,0,0,0,0,0
23,2020-01-01,Botswana,0,0,0,0,0,0
24,2020-01-01,Brazil,0,0,0,0,0,0
25,2020-01-01,Brunei,0,0,0,0,0,0
26,2020-01-01,Bulgaria,0,0,0,0,0,0
27,2020-01-01,Burkina Faso,0,0,0,0,0,0
28,2020-01-01,Burma,0,0,0,0,0,0
29,2020-01-01,Burundi,0,0,0,0,0,0
30,2020-01-01,Cabo Verde,0,0,0,0,0,0
31,2020-01-01,Cambodia,1,0,0,1,0,0
32,2020-01-01,Cameroon,0,0,0,0,0,0
33,2020-01-01,Canada,4,0,0,4,0,0
34,2020-01-01,Central African Republic,0,0,0,0,0,0
35,2020-01-01,Chad,0,0,0,0,0,0
36,2020-01-01,Chile,0,0,0,0,0,0
37,2020-01-01,China,9802,213,211,9254,196,183
38,2020-01-01,Colombia,0,0,0,0,0,0
39,2020-01-01,Comoros,0,0,0,0,0,0
40,2020-01-01,Congo (Brazzaville),0,0,0,0,0,0
41,2020-01-01,Congo (Kinshasa),0,0,0,0,0,0
42,2020-01-01,Costa Rica,0,0,0,0,0,0
43,2020-01-01,Cote d'Ivoire,0,0,0,0,0,0
44,2020-01-01,Croatia,0,0,0,0,0,0
45,2020-01-01,Cuba,0,0,0,0,0,0
46,2020-01-01,Cyprus,0,0,0,0,0,0
47,2020-01-01,Czechia,0,0,0,0,0,0
48,2020-01-01,Denmark,0,0,0,0,0,0
49,2020-01-01,Djibouti,0,0,0,0,0,0
50,2020-01-01,Dominica,0,0,0,0,0,0
51,2020-01-01,Dominican Republic,0,0,0,0,0,0
52,2020-01-01,Ecuador,0,0,0,0,0,0
53,2020-01-01,Egypt,0,0,0,0,0,0
54,2020-01-01,El Salvador,0,0,0,0,0,0
55,2020-01-01,Equatorial Guinea,0,0,0,0,0,0
56,2020-01-01,Eritrea,0,0,0,0,0,0
57,2020-01-01,Estonia,0,0,0,0,0,0
58,2020-01-01,Eswatini,0,0,0,0,0,0
59,2020-01-01,Ethiopia,0,0,0,0,0,0
60,2020-01-01,Fiji,0,0,0,0,0,0
61,2020-01-01,Finland,1,0,0,1,0,0
62,2020-01-01,France,5,0,0,5,0,0
63,2020-01-01,Gabon,0,0,0,0,0,0
64,2020-01-01,Gambia,0,0,0,0,0,0
65,2020-01-01,Georgia,0,0,0,0,0,0
66,2020-01-01,Germany,5,0,0,5,0,0
67,2020-01-01,Ghana,0,0,0,0,0,0
68,2020-01-01,Greece,0,0,0,0,0,0
69,2020-01-01,Greenland,0,0,0,0,0,0
70,2020-01-01,Grenada,0,0,0,0,0,0
71,2020-01-01,Guatemala,0,0,0,0,0,0
72,2020-01-01,Guinea,0,0,0,0,0,0
73,2020-01-01,Guinea-Bissau,0,0,0,0,0,0
74,2020-01-01,Guyana,0,0,0,0,0,0
75,2020-01-01,Haiti,0,0,0,0,0,0
76,2020-01-01,Holy See,0,0,0,0,0,0
77,2020-01-01,Honduras,0,0,0,0,0,0
78,2020-01-01,Hungary,0,0,0,0,0,0
79,2020-01-01,Iceland,0,0,0,0,0,0
80,2020-01-01,India,1,0,0,1,0,0
81,2020-01-01,Indonesia,0,0,0,0,0,0
82,2020-01-01,Iran,0,0,0,0,0,0
83,2020-01-01,Iraq,0,0,0,0,0,0
84,2020-01-01,Ireland,0,0,0,0,0,0
85,2020-01-01,Israel,0,0,0,0,0,0
86,2020-01-01,Italy,2,0,0,2,0,0
87,2020-01-01,Jamaica,0,0,0,0,0,0
88,2020-01-01,Japan,15,0,1,13,0,1
89,2020-01-01,Jordan,0,0,0,0,0,0
90,2020-01-01,Kazakhstan,0,0,0,0,0,0
91,2020-01-01,Kenya,0,0,0,0,0,0
92,2020-01-01,Kosovo,0,0,0,0,0,0
93,2020-01-01,Kuwait,0,0,0,0,0,0
94,2020-01-01,Kyrgyzstan,0,0,0,0,0,0
95,2020-01-01,Laos,0,0,0,0,0,0
96,2020-01-01,Latvia,0,0,0,0,0,0
97,2020-01-01,Lebanon,0,0,0,0,0,0
98,2020-01-01,Lesotho,0,0,0,0,0,0
99,2020-01-01,Liberia,0,0,0,0,0,0
100,2020-01-01,Libya,0,0,0,0,0,0
101,2020-01-01,Liechtenstein,0,0,0,0,0,0
102,2020-01-01,Lithuania,0,0,0,0,0,0
103,2020-01-01,Luxembourg,0,0,0,0,0,0
104,2020-01-01,Madagascar,0,0,0,0,0,0
105,2020-01-01,Malawi,0,0,0,0,0,0
106,2020-01-01,Malaysia,8,0,0,8,0,0
107,2020-01-01,Maldives,0,0,0,0,0,0
108,2020-01-01,Mali,0,0,0,0,0,0
109,2020-01-01,Malta,0,0,0,0,0,0
110,2020-01-01,Mauritania,0,0,0,0,0,0
111,2020-01-01,Mauritius,0,0,0,0,0,0
112,2020-01-01,Mexico,0,0,0,0,0,0
113,2020-01-01,Moldova,0,0,0,0,0,0
114,2020-01-01,Monaco,0,0,0,0,0,0
115,2020-01-01,Mongolia,0,0,0,0,0,0
116,2020-01-01,Montenegro,0,0,0,0,0,0
117,2020-01-01,Morocco,0,0,0,0,0,0
118,2020-01-01,Mozambique,0,0,0,0,0,0
119,2020-01-01,Namibia,0,0,0,0,0,0
120,2020-01-01,Nepal,1,0,0,1,0,0
121,2020-01-01,Netherlands,0,0,0,0,0,0
122,2020-01-01,New Zealand,0,0,0,0,0,0
123,2020-01-01,Nicaragua,0,0,0,0,0,0
124,2020-01-01,Niger,0,0,0,0,0,0
125,2020-01-01,Nigeria,0,0,0,0,0,0
126,2020-01-01,North Macedonia,0,0,0,0,0,0
127,2020-01-01,Norway,0,0,0,0,0,0
128,2020-01-01,Oman,0,0,0,0,0,0
129,2020-01-01,Pakistan,0,0,0,0,0,0
130,2020-01-01,Panama,0,0,0,0,0,0
131,2020-01-01,Papua New Guinea,0,0,0,0,0,0
132,2020-01-01,Paraguay,0,0,0,0,0,0
133,2020-01-01,Peru,0,0,0,0,0,0
134,2020-01-01,Philippines,1,0,0,1,0,0
135,2020-01-01,Poland,0,0,0,0,0,0
136,2020-01-01,Portugal,0,0,0,0,0,0
137,2020-01-01,Qatar,0,0,0,0,0,0
138,2020-01-01,Romania,0,0,0,0,0,0
139,2020-01-01,Russia,2,0,0,2,0,0
140,2020-01-01,Rwanda,0,0,0,0,0,0
141,2020-01-01,Saint Kitts and Nevis,0,0,0,0,0,0
142,2020-01-01,Saint Lucia,0,0,0,0,0,0
143,2020-01-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
144,2020-01-01,San Marino,0,0,0,0,0,0
145,2020-01-01,Sao Tome and Principe,0,0,0,0,0,0
146,2020-01-01,Saudi Arabia,0,0,0,0,0,0
147,2020-01-01,Senegal,0,0,0,0,0,0
148,2020-01-01,Serbia,0,0,0,0,0,0
149,2020-01-01,Seychelles,0,0,0,0,0,0
150,2020-01-01,Sierra Leone,0,0,0,0,0,0
151,2020-01-01,Singapore,13,0,0,13,0,0
152,2020-01-01,Slovakia,0,0,0,0,0,0
153,2020-01-01,Slovenia,0,0,0,0,0,0
154,2020-01-01,Somalia,0,0,0,0,0,0
155,2020-01-01,South Africa,0,0,0,0,0,0
156,2020-01-01,South Korea,11,0,0,10,0,0
157,2020-01-01,South Sudan,0,0,0,0,0,0
158,2020-01-01,Spain,0,0,0,0,0,0
159,2020-01-01,Sri Lanka,1,0,0,1,0,0
160,2020-01-01,Sudan,0,0,0,0,0,0
161,2020-01-01,Suriname,0,0,0,0,0,0
162,2020-01-01,Sweden,1,0,0,1,0,0
163,2020-01-01,Switzerland,0,0,0,0,0,0
164,2020-01-01,Syria,0,0,0,0,0,0
165,2020-01-01,Taiwan*,10,0,0,9,0,0
166,2020-01-01,Tajikistan,0,0,0,0,0,0
167,2020-01-01,Tanzania,0,0,0,0,0,0
168,2020-01-01,Thailand,19,0,5,17,0,5
169,2020-01-01,Timor-Leste,0,0,0,0,0,0
170,2020-01-01,Togo,0,0,0,0,0,0
171,2020-01-01,Trinidad and Tobago,0,0,0,0,0,0
172,2020-01-01,Tunisia,0,0,0,0,0,0
173,2020-01-01,Turkey,0,0,0,0,0,0
174,2020-01-01,US,7,0,0,6,0,0
175,2020-01-01,Uganda,0,0,0,0,0,0
176,2020-01-01,Ukraine,0,0,0,0,0,0
177,2020-01-01,United Arab Emirates,4,0,0,4,0,0
178,2020-01-01,United Kingdom,2,0,0,2,0,0
179,2020-01-01,Uruguay,0,0,0,0,0,0
180,2020-01-01,Uzbekistan,0,0,0,0,0,0
181,2020-01-01,Venezuela,0,0,0,0,0,0
182,2020-01-01,Vietnam,2,0,0,2,0,0
183,2020-01-01,West Bank and Gaza,0,0,0,0,0,0
184,2020-01-01,Western Sahara,0,0,0,0,0,0
185,2020-01-01,Yemen,0,0,0,0,0,0
186,2020-01-01,Zambia,0,0,0,0,0,0
187,2020-01-01,Zimbabwe,0,0,0,0,0,0
188,2020-02-01,Afghanistan,1,0,0,1,0,0
189,2020-02-01,Albania,0,0,0,0,0,0
190,2020-02-01,Algeria,1,0,0,1,0,0
191,2020-02-01,Andorra,0,0,0,0,0,0
192,2020-02-01,Angola,0,0,0,0,0,0
193,2020-02-01,Antigua and Barbuda,0,0,0,0,0,0
194,2020-02-01,Argentina,0,0,0,0,0,0
195,2020-02-01,Armenia,0,0,0,0,0,0
196,2020-02-01,Australia,25,0,11,16,0,9
197,2020-02-01,Austria,9,0,0,9,0,0
198,2020-02-01,Azerbaijan,0,0,0,0,0,0
199,2020-02-01,Bahamas,0,0,0,0,0,0
200,2020-02-01,Bahrain,41,0,0,41,0,0
201,2020-02-01,Bangladesh,0,0,0,0,0,0
202,2020-02-01,Barbados,0,0,0,0,0,0
203,2020-02-01,Belarus,1,0,0,1,0,0
204,2020-02-01,Belgium,1,0,1,1,0,1
205,2020-02-01,Belize,0,0,0,0,0,0
206,2020-02-01,Benin,0,0,0,0,0,0
207,2020-02-01,Bhutan,0,0,0,0,0,0
208,2020-02-01,Bolivia,0,0,0,0,0,0
209,2020-02-01,Bosnia and Herzegovina,0,0,0,0,0,0
210,2020-02-01,Botswana,0,0,0,0,0,0
211,2020-02-01,Brazil,2,0,0,2,0,0
212,2020-02-01,Brunei,0,0,0,0,0,0
213,2020-02-01,Bulgaria,0,0,0,0,0,0
214,2020-02-01,Burkina Faso,0,0,0,0,0,0
215,2020-02-01,Burma,0,0,0,0,0,0
216,2020-02-01,Burundi,0,0,0,0,0,0
217,2020-02-01,Cabo Verde,0,0,0,0,0,0
218,2020-02-01,Cambodia,1,0,1,0,0,1
219,2020-02-01,Cameroon,0,0,0,0,0,0
220,2020-02-01,Canada,20,0,0,16,0,0
221,2020-02-01,Central African Republic,0,0,0,0,0,0
222,2020-02-01,Chad,0,0,0,0,0,0
223,2020-02-01,Chile,2,0,0,2,0,0
224,2020-02-01,China,79356,2837,37868,69554,2624,37657
225,2020-02-01,Colombia,0,0,0,0,0,0
226,2020-02-01,Comoros,0,0,0,0,0,0
227,2020-02-01,Congo (Brazzaville),0,0,0,0,0,0
228,2020-02-01,Congo (Kinshasa),0,0,0,0,0,0
229,2020-02-01,Costa Rica,0,0,0,0,0,0
230,2020-02-01,Cote d'Ivoire,0,0,0,0,0,0
231,2020-02-01,Croatia,6,0,0,6,0,0
232,2020-02-01,Cuba,0,0,0,0,0,0
233,2020-02-01,Cyprus,0,0,0,0,0,0
234,2020-02-01,Czechia,0,0,0,0,0,0
235,2020-02-01,Denmark,3,0,0,3,0,0
236,2020-02-01,Djibouti,0,0,0,0,0,0
237,2020-02-01,Dominica,0,0,0,0,0,0
238,2020-02-01,Dominican Republic,0,0,0,0,0,0
239,2020-02-01,Ecuador,0,0,0,0,0,0
240,2020-02-01,Egypt,1,0,1,1,0,1
241,2020-02-01,El Salvador,0,0,0,0,0,0
242,2020-02-01,Equatorial Guinea,0,0,0,0,0,0
243,2020-02-01,Eritrea,0,0,0,0,0,0
244,2020-02-01,Estonia,1,0,0,1,0,0
245,2020-02-01,Eswatini,0,0,0,0,0,0
246,2020-02-01,Ethiopia,0,0,0,0,0,0
247,2020-02-01,Fiji,0,0,0,0,0,0
248,2020-02-01,Finland,3,0,1,2,0,1
249,2020-02-01,France,100,2,12,95,2,12
250,2020-02-01,Gabon,0,0,0,0,0,0
251,2020-02-01,Gambia,0,0,0,0,0,0
252,2020-02-01,Georgia,1,0,0,1,0,0
253,2020-02-01,Germany,79,0,16,74,0,16
254,2020-02-01,Ghana,0,0,0,0,0,0
255,2020-02-01,Greece,4,0,0,4,0,0
256,2020-02-01,Greenland,0,0,0,0,0,0
257,2020-02-01,Grenada,0,0,0,0,0,0
258,2020-02-01,Guatemala,0,0,0,0,0,0
259,2020-02-01,Guinea,0,0,0,0,0,0
260,2020-02-01,Guinea-Bissau,0,0,0,0,0,0
261,2020-02-01,Guyana,0,0,0,0,0,0
262,2020-02-01,Haiti,0,0,0,0,0,0
263,2020-02-01,Holy See,0,0,0,0,0,0
264,2020-02-01,Honduras,0,0,0,0,0,0
265,2020-02-01,Hungary,0,0,0,0,0,0
266,2020-02-01,Iceland,1,0,0,1,0,0
267,2020-02-01,India,3,0,3,2,0,3
268,2020-02-01,Indonesia,0,0,0,0,0,0
269,2020-02-01,Iran,593,43,123,593,43,123
270,2020-02-01,Iraq,13,0,0,13,0,0
271,2020-02-01,Ireland,1,0,0,1,0,0
272,2020-02-01,Israel,7,0,1,7,0,1
273,2020-02-01,Italy,1128,29,46,1126,29,48
274,2020-02-01,Jamaica,0,0,0,0,0,0
275,2020-02-01,Japan,245,6,32,230,6,31
276,2020-02-01,Jordan,0,0,0,0,0,0
277,2020-02-01,Kazakhstan,0,0,0,0,0,0
278,2020-02-01,Kenya,0,0,0,0,0,0
279,2020-02-01,Kosovo,0,0,0,0,0,0
280,2020-02-01,Kuwait,45,0,0,45,0,0
281,2020-02-01,Kyrgyzstan,0,0,0,0,0,0
282,2020-02-01,Laos,0,0,0,0,0,0
283,2020-02-01,Latvia,0,0,0,0,0,0
284,2020-02-01,Lebanon,4,0,0,4,0,0
285,2020-02-01,Lesotho,0,0,0,0,0,0
286,2020-02-01,Liberia,0,0,0,0,0,0
287,2020-02-01,Libya,0,0,0,0,0,0
288,2020-02-01,Liechtenstein,0,0,0,0,0,0
289,2020-02-01,Lithuania,1,0,0,1,0,0
290,2020-02-01,Luxembourg,1,0,0,1,0,0
291,2020-02-01,Madagascar,0,0,0,0,0,0
292,2020-02-01,Malawi,0,0,0,0,0,0
293,2020-02-01,Malaysia,25,0,18,17,0,18
294,2020-02-01,Maldives,0,0,0,0,0,0
295,2020-02-01,Mali,0,0,0,0,0,0
296,2020-02-01,Malta,0,0,0,0,0,0
297,2020-02-01,Mauritania,0,0,0,0,0,0
298,2020-02-01,Mauritius,0,0,0,0,0,0
299,2020-02-01,Mexico,4,0,0,4,0,0
300,2020-02-01,Moldova,0,0,0,0,0,0
301,2020-02-01,Monaco,1,0,0,1,0,0
302,2020-02-01,Mongolia,0,0,0,0,0,0
303,2020-02-01,Montenegro,0,0,0,0,0,0
304,2020-02-01,Morocco,0,0,0,0,0,0
305,2020-02-01,Mozambique,0,0,0,0,0,0
306,2020-02-01,Namibia,0,0,0,0,0,0
307,2020-02-01,Nepal,1,0,1,0,0,1
308,2020-02-01,Netherlands,6,0,0,6,0,0
309,2020-02-01,New Zealand,1,0,0,1,0,0
310,2020-02-01,Nicaragua,0,0,0,0,0,0
311,2020-02-01,Niger,0,0,0,0,0,0
312,2020-02-01,Nigeria,1,0,0,1,0,0
313,2020-02-01,North Macedonia,1,0,0,1,0,0
314,2020-02-01,Norway,15,0,0,15,0,0
315,2020-02-01,Oman,6,0,1,6,0,1
316,2020-02-01,Pakistan,4,0,0,4,0,0
317,2020-02-01,Panama,0,0,0,0,0,0
318,2020-02-01,Papua New Guinea,0,0,0,0,0,0
319,2020-02-01,Paraguay,0,0,0,0,0,0
320,2020-02-01,Peru,0,0,0,0,0,0
321,2020-02-01,Philippines,3,1,1,2,1,1
322,2020-02-01,Poland,0,0,0,0,0,0
323,2020-02-01,Portugal,0,0,0,0,0,0
324,2020-02-01,Qatar,1,0,0,1,0,0
325,2020-02-01,Romania,3,0,0,3,0,0
326,2020-02-01,Russia,2,0,2,0,0,2
327,2020-02-01,Rwanda,0,0,0,0,0,0
328,2020-02-01,Saint Kitts and Nevis,0,0,0,0,0,0
329,2020-02-01,Saint Lucia,0,0,0,0,0,0
330,2020-02-01,Saint Vincent and the Grenadines,0,0,0,0,0,0
331,2020-02-01,San Marino,1,0,0,1,0,0
332,2020-02-01,Sao Tome and Principe,0,0,0,0,0,0
333,2020-02-01,Saudi Arabia,0,0,0,0,0,0
334,2020-02-01,Senegal,0,0,0,0,0,0
335,2020-02-01,Serbia,0,0,0,0,0,0
336,2020-02-01,Seychelles,0,0,0,0,0,0
337,2020-02-01,Sierra Leone,0,0,0,0,0,0
338,2020-02-01,Singapore,102,0,72,89,0,72
339,2020-02-01,Slovakia,0,0,0,0,0,0
340,2020-02-01,Slovenia,0,0,0,0,0,0
341,2020-02-01,Somalia,0,0,0,0,0,0
342,2020-02-01,South Africa,0,0,0,0,0,0
343,2020-02-01,South Korea,3150,16,27,3139,16,27
344,2020-02-01,South Sudan,0,0,0,0,0,0
345,2020-02-01,Spain,45,0,2,45,0,2
346,2020-02-01,Sri Lanka,1,0,1,0,0,1
347,2020-02-01,Sudan,0,0,0,0,0,0
348,2020-02-01,Suriname,0,0,0,0,0,0
349,2020-02-01,Sweden,12,0,0,11,0,0
350,2020-02-01,Switzerland,18,0,0,18,0,0
351,2020-02-01,Syria,0,0,0,0,0,0
352,2020-02-01,Taiwan*,39,1,9,29,1,9
353,2020-02-01,Tajikistan,0,0,0,0,0,0
354,2020-02-01,Tanzania,0,0,0,0,0,0
355,2020-02-01,Thailand,42,0,28,23,0,23
356,2020-02-01,Timor-Leste,0,0,0,0,0,0
357,2020-02-01,Togo,0,0,0,0,0,0
358,2020-02-01,Trinidad and Tobago,0,0,0,0,0,0
359,2020-02-01,Tunisia,0,0,0,0,0,0
360,2020-02-01,Turkey,0,0,0,0,0,0
361,2020-02-01,US,24,1,7,17,1,7
362,2020-02-01,Uganda,0,0,0,0,0,0
363,2020-02-01,Ukraine,0,0,0,0,0,0
364,2020-02-01,United Arab Emirates,21,0,5,17,0,5
365,2020-02-01,United Kingdom,61,0,8,59,0,8
366,2020-02-01,Uruguay,0,0,0,0,0,0
367,2020-02-01,Uzbekistan,0,0,0,0,0,0
368,2020-02-01,Venezuela,0,0,0,0,0,0
369,2020-02-01,Vietnam,16,0,16,14,0,16
370,2020-02-01,West Bank and Gaza,0,0,0,0,0,0
371,2020-02-01,Western Sahara,0,0,0,0,0,0
372,2020-02-01,Yemen,0,0,0,0,0,0
373,2020-02-01,Zambia,0,0,0,0,0,0
374,2020-02-01,Zimbabwe,0,0,0,0,0,0
375,2020-03-01,Afghanistan,174,4,5,173,4,5
376,2020-03-01,Albania,243,15,52,243,15,52
377,2020-03-01,Algeria,716,44,46,715,44,200
378,2020-03-01,Andorra,376,12,10,376,12,12
379,2020-03-01,Angola,7,2,1,7,2,1
380,2020-03-01,Antigua and Barbuda,7,0,0,7,0,0
381,2020-03-01,Argentina,1054,27,240,1054,27,240
382,2020-03-01,Armenia,532,3,30,532,3,30
383,2020-03-01,Australia,4559,18,358,4534,18,347
384,2020-03-01,Austria,10180,128,1095,10171,128,1105
385,2020-03-01,Azerbaijan,298,5,26,298,5,28
386,2020-03-01,Bahamas,14,0,1,14,0,1
387,2020-03-01,Bahrain,567,4,295,526,4,295
388,2020-03-01,Bangladesh,51,5,25,51,5,25
389,2020-03-01,Barbados,34,0,0,34,0,0
390,2020-03-01,Belarus,152,1,47,151,1,47
391,2020-03-01,Belgium,12775,705,1696,12774,705,1755
392,2020-03-01,Belize,3,0,0,3,0,0
393,2020-03-01,Benin,9,0,1,9,0,1
394,2020-03-01,Bhutan,4,0,0,4,0,0
395,2020-03-01,Bolivia,107,6,0,107,6,0
396,2020-03-01,Bosnia and Herzegovina,420,13,17,420,13,17
397,2020-03-01,Botswana,4,1,0,4,1,0
398,2020-03-01,Brazil,5717,201,127,5715,201,127
399,2020-03-01,Brunei,129,1,45,129,1,45
400,2020-03-01,Bulgaria,399,8,17,399,8,17
401,2020-03-01,Burkina Faso,261,14,32,261,14,32
402,2020-03-01,Burma,15,1,0,15,1,0
403,2020-03-01,Burundi,2,0,0,2,0,0
404,2020-03-01,Cabo Verde,6,1,0,6,1,0
405,2020-03-01,Cambodia,109,0,23,108,0,22
406,2020-03-01,Cameroon,193,6,5,193,6,5
407,2020-03-01,Canada,8514,100,0,8494,100,0
408,2020-03-01,Central African Republic,3,0,0,3,0,0
409,2020-03-01,Chad,7,0,0,7,0,0
410,2020-03-01,Chile,2844,12,156,2842,12,156
411,2020-03-01,China,82279,3309,74645,2923,472,36777
412,2020-03-01,Colombia,906,16,31,906,16,31
413,2020-03-01,Comoros,0,0,0,0,0,0
414,2020-03-01,Congo (Brazzaville),19,0,0,19,0,0
415,2020-03-01,Congo (Kinshasa),98,8,2,98,8,2
416,2020-03-01,Costa Rica,347,2,4,347,2,4
417,2020-03-01,Cote d'Ivoire,179,1,7,179,1,7
418,2020-03-01,Croatia,867,6,67,861,6,67
419,2020-03-01,Cuba,186,6,8,186,6,8
420,2020-03-01,Cyprus,262,8,23,262,8,23
421,2020-03-01,Czechia,3308,31,45,3308,31,45
422,2020-03-01,Denmark,3029,90,75,3026,90,75
423,2020-03-01,Djibouti,30,0,0,30,0,0
424,2020-03-01,Dominica,12,0,0,12,0,0
425,2020-03-01,Dominican Republic,1109,51,5,1109,51,5
426,2020-03-01,Ecuador,2240,75,54,2240,75,54
427,2020-03-01,Egypt,710,46,157,709,46,168
428,2020-03-01,El Salvador,32,1,0,32,1,0
429,2020-03-01,Equatorial Guinea,12,0,1,12,0,1
430,2020-03-01,Eritrea,15,0,0,15,0,0
431,2020-03-01,Estonia,745,4,26,744,4,26
432,2020-03-01,Eswatini,9,0,0,9,0,0
433,2020-03-01,Ethiopia,26,0,2,26,0,14
434,2020-03-01,Fiji,5,0,0,5,0,0
435,2020-03-01,Finland,1418,17,10,1415,17,9
436,2020-03-01,France,52827,3532,9513,52727,3530,9501
437,2020-03-01,Gabon,16,1,0,16,1,0
438,2020-03-01,Gambia,4,1,0,4,1,0
439,2020-03-01,Georgia,110,0,21,109,0,21
440,2020-03-01,Germany,71808,775,16100,71729,775,16084
441,2020-03-01,Ghana,161,5,31,161,5,31
442,2020-03-01,Greece,1314,49,52,1310,49,52
443,2020-03-01,Greenland,10,0,2,10,0,2
444,2020-03-01,Grenada,9,0,0,9,0,0
445,2020-03-01,Guatemala,38,1,12,38,1,12
446,2020-03-01,Guinea,22,0,0,22,0,0
447,2020-03-01,Guinea-Bissau,8,0,0,8,0,0
448,2020-03-01,Guyana,12,2,0,27,2,0
449,2020-03-01,Haiti,15,0,1,15,0,1
450,2020-03-01,Holy See,6,0,0,6,0,0
451,2020-03-01,Honduras,141,7,3,141,7,3
452,2020-03-01,Hungary,492,16,37,492,16,37
453,2020-03-01,Iceland,1135,2,198,1134,14,214
454,2020-03-01,India,1397,35,123,1394,37,120
455,2020-03-01,Indonesia,1528,136,81,1528,136,81
456,2020-03-01,Iran,44605,2898,14656,44012,2855,14533
457,2020-03-01,Iraq,694,50,170,681,50,170
458,2020-03-01,Ireland,3235,71,5,3234,71,5
459,2020-03-01,Israel,5358,20,224,5351,20,223
460,2020-03-01,Italy,105792,12428,15729,104664,12399,15683
461,2020-03-01,Jamaica,36,1,2,36,1,2
462,2020-03-01,Japan,2255,67,424,2010,61,392
463,2020-03-01,Jordan,274,5,30,274,5,30
464,2020-03-01,Kazakhstan,343,2,24,343,8,24
465,2020-03-01,Kenya,59,1,1,59,1,1
466,2020-03-01,Kosovo,112,1,6,112,1,6
467,2020-03-01,Kuwait,289,0,73,244,0,73
468,2020-03-01,Kyrgyzstan,107,0,3,107,0,3
469,2020-03-01,Laos,9,0,0,9,0,0
470,2020-03-01,Latvia,398,0,1,398,0,1
471,2020-03-01,Lebanon,470,12,37,466,12,37
472,2020-03-01,Lesotho,0,0,0,0,0,0
473,2020-03-01,Liberia,3,0,0,3,0,0
474,2020-03-01,Libya,10,0,1,10,0,1
475,2020-03-01,Liechtenstein,68,0,44,68,0,44
476,2020-03-01,Lithuania,537,8,7,536,8,7
477,2020-03-01,Luxembourg,2178,23,80,2177,23,80
478,2020-03-01,Madagascar,57,0,0,57,0,0
479,2020-03-01,Malawi,0,0,0,0,0,0
480,2020-03-01,Malaysia,2766,43,537,2741,43,519
481,2020-03-01,Maldives,18,0,13,18,0,13
482,2020-03-01,Mali,28,2,0,28,2,0
483,2020-03-01,Malta,169,0,2,169,0,2
484,2020-03-01,Mauritania,6,1,2,6,1,2
485,2020-03-01,Mauritius,143,5,0,143,5,0
486,2020-03-01,Mexico,1215,29,35,1211,29,35
487,2020-03-01,Moldova,353,4,18,353,4,18
488,2020-03-01,Monaco,52,1,2,51,1,2
489,2020-03-01,Mongolia,12,0,2,12,0,2
490,2020-03-01,Montenegro,109,2,0,109,2,0
491,2020-03-01,Morocco,617,36,24,617,36,24
492,2020-03-01,Mozambique,8,0,0,8,0,0
493,2020-03-01,Namibia,11,0,2,11,0,2
494,2020-03-01,Nepal,5,0,1,4,0,0
495,2020-03-01,Netherlands,12667,1040,3,12661,1040,3
496,2020-03-01,New Zealand,647,1,74,646,1,74
497,2020-03-01,Nicaragua,5,1,0,5,1,0
498,2020-03-01,Niger,27,3,0,27,3,0
499,2020-03-01,Nigeria,135,2,8,134,2,8
500,2020-03-01,North Macedonia,329,9,12,328,9,12
501,2020-03-01,Norway,4641,39,13,4626,39,13
502,2020-03-01,Oman,192,1,34,186,1,33
503,2020-03-01,Pakistan,2118,27,94,2114,27,110
504,2020-03-01,Panama,1181,30,9,1181,30,9
505,2020-03-01,Papua New Guinea,1,0,0,1,0,0
506,2020-03-01,Paraguay,65,3,1,65,3,1
507,2020-03-01,Peru,1065,30,394,1065,30,394
508,2020-03-01,Philippines,2084,88,49,2081,91,48
509,2020-03-01,Poland,2311,33,7,2311,33,31
510,2020-03-01,Portugal,7443,160,43,7443,160,43
